x_m,r_m,x_over_rt,r_over_rt
# M4.19 vitiated-air nozzle [euler] inviscid design wall (AxisMachCFDWall)
# R=2, L_U=6, L_c=8 (r_t units), M_d=4.19; r_t=0.205711 m
# throat x=0.000000 m r=0.205711 m; exit x=4.985842 m r=0.798461 m
-1.337121500000000074e+00,8.000100789999999851e-01,-6.500000000000000000e+00,3.888999999999999790e+00
-1.333574758620689638e+00,8.000100789999999851e-01,-6.482758620689654805e+00,3.888999999999999790e+00
-1.330028017241379423e+00,8.000100789999999851e-01,-6.465517241379310498e+00,3.888999999999999790e+00
-1.326481275862068987e+00,8.000100789999999851e-01,-6.448275862068965303e+00,3.888999999999999790e+00
-1.322934534482758773e+00,8.000100789999999851e-01,-6.431034482758620996e+00,3.888999999999999790e+00
-1.319387793103448336e+00,8.000100789999999851e-01,-6.413793103448275801e+00,3.888999999999999790e+00
-1.315841051724137900e+00,8.000100789999999851e-01,-6.396551724137930606e+00,3.888999999999999790e+00
-1.312294310344827686e+00,8.000100789999999851e-01,-6.379310344827586299e+00,3.888999999999999790e+00
-1.308747568965517249e+00,8.000100789999999851e-01,-6.362068965517241104e+00,3.888999999999999790e+00
-1.305200827586207035e+00,8.000100789999999851e-01,-6.344827586206896797e+00,3.888999999999999790e+00
-1.301654086206896599e+00,8.000100789999999851e-01,-6.327586206896551602e+00,3.888999999999999790e+00
-1.298107344827586385e+00,8.000100789999999851e-01,-6.310344827586207295e+00,3.888999999999999790e+00
-1.294560603448275948e+00,8.000100789999999851e-01,-6.293103448275862100e+00,3.888999999999999790e+00
-1.291013862068965512e+00,8.000100789999999851e-01,-6.275862068965516904e+00,3.888999999999999790e+00
-1.287467120689655298e+00,8.000100789999999851e-01,-6.258620689655172598e+00,3.888999999999999790e+00
-1.283920379310344861e+00,8.000100789999999851e-01,-6.241379310344827402e+00,3.888999999999999790e+00
-1.280373637931034647e+00,8.000100789999999851e-01,-6.224137931034483096e+00,3.888999999999999790e+00
-1.276826896551724211e+00,8.000100789999999851e-01,-6.206896551724137900e+00,3.888999999999999790e+00
-1.273280155172413775e+00,8.000100789999999851e-01,-6.189655172413792705e+00,3.888999999999999790e+00
-1.269733413793103560e+00,8.000100789999999851e-01,-6.172413793103448398e+00,3.888999999999999790e+00
-1.266186672413793124e+00,8.000100789999999851e-01,-6.155172413793103203e+00,3.888999999999999790e+00
-1.262639931034482910e+00,8.000100789999999851e-01,-6.137931034482758896e+00,3.888999999999999790e+00
-1.259093189655172473e+00,8.000100789999999851e-01,-6.120689655172413701e+00,3.888999999999999790e+00
-1.255546448275862259e+00,8.000100789999999851e-01,-6.103448275862069394e+00,3.888999999999999790e+00
-1.251999706896551823e+00,8.000100789999999851e-01,-6.086206896551724199e+00,3.888999999999999790e+00
-1.248452965517241386e+00,8.000100789999999851e-01,-6.068965517241379004e+00,3.888999999999999790e+00
-1.244906224137931172e+00,8.000100789999999851e-01,-6.051724137931034697e+00,3.888999999999999790e+00
-1.241359482758620736e+00,8.000100789999999851e-01,-6.034482758620689502e+00,3.888999999999999790e+00
-1.237812741379310522e+00,8.000100789999999851e-01,-6.017241379310345195e+00,3.888999999999999790e+00
-1.234266000000000085e+00,8.000100789999999851e-01,-6.000000000000000000e+00,3.888999999999999790e+00
-1.228063658291457250e+00,8.000095631197103874e-01,-5.969849246231155426e+00,3.888997492208536855e+00
-1.221861316582914636e+00,8.000059784120308048e-01,-5.939698492462311741e+00,3.888980066267874847e+00
-1.215658974874371800e+00,7.999963285023790061e-01,-5.909547738693467167e+00,3.888933156235587774e+00
-1.209456633165829187e+00,7.999776954563136977e-01,-5.879396984924623482e+00,3.888842577481582019e+00
-1.203254291457286573e+00,7.999472391203200639e-01,-5.849246231155778908e+00,3.888694523483528176e+00
-1.197051949748743738e+00,7.999021964625943060e-01,-5.819095477386934334e+00,3.888475562622291992e+00
-1.190849608040201124e+00,7.998398809138296262e-01,-5.788944723618090649e+00,3.888172634977369313e+00
-1.184647266331658289e+00,7.997576817080013223e-01,-5.758793969849246075e+00,3.887773049122318803e+00
-1.178444924623115675e+00,7.996530632231522162e-01,-5.728643216080402389e+00,3.887264478920194666e+00
-1.172242582914572839e+00,7.995235643221774158e-01,-5.698492462311557816e+00,3.886634960318978482e+00
-1.166040241206030004e+00,7.993667976936104091e-01,-5.668341708542713242e+00,3.885872888147014148e+00
-1.159837899497487612e+00,7.991804491924081599e-01,-5.638190954773869557e+00,3.884967012908440154e+00
-1.153635557788944777e+00,7.989622771807359802e-01,-5.608040201005024983e+00,3.883906437578622306e+00
-1.147433216080402163e+00,7.987101118687532919e-01,-5.577889447236181297e+00,3.882680614399586005e+00
-1.141230874371859327e+00,7.984218546553986107e-01,-5.547738693467336724e+00,3.881279341675450301e+00
-1.135028532663316492e+00,7.980954774691754183e-01,-5.517587939698492150e+00,3.879692760567861498e+00
-1.128826190954773878e+00,7.977290221089364808e-01,-5.487437185929648464e+00,3.877911351891422775e+00
-1.122623849246231265e+00,7.973205995846706085e-01,-5.457286432160803891e+00,3.875925932909132676e+00
-1.116421507537688651e+00,7.968683894582864191e-01,-5.427135678391960205e+00,3.873727654127812503e+00
-1.110219165829145815e+00,7.963706391843986543e-01,-5.396984924623115631e+00,3.871307996093542148e+00
-1.104016824120602980e+00,7.958256634511133853e-01,-5.366834170854271058e+00,3.868658766187094145e+00
-1.097814482412060366e+00,7.952318435208126646e-01,-5.336683417085427372e+00,3.865772095419363286e+00
-1.091612140703517531e+00,7.945876265709406194e-01,-5.306532663316582799e+00,3.862640435226801561e+00
-1.085409798994974917e+00,7.938915250347885477e-01,-5.276381909547739113e+00,3.859256554266852657e+00
-1.079207457286432303e+00,7.931421159422799017e-01,-5.246231155778894539e+00,3.855613535213381571e+00
-1.073005115577889468e+00,7.923380402607561601e-01,-5.216080402010049966e+00,3.851704771552109996e+00
-1.066802773869346854e+00,7.914780022357613687e-01,-5.185929648241206280e+00,3.847523964376048600e+00
-1.060600432160804019e+00,7.905607687318283450e-01,-5.155778894472361706e+00,3.843065119180930189e+00
-1.054398090452261183e+00,7.895851685732631076e-01,-5.125628140703517133e+00,3.838322542660640657e+00
-1.048195748743718569e+00,7.885500918849311924e-01,-5.095477386934673447e+00,3.833290839502657477e+00
-1.041993407035175956e+00,7.874544894330416378e-01,-5.065326633165828873e+00,3.827964909183473985e+00
-1.035791065326633342e+00,7.862973719659339666e-01,-5.035175879396985188e+00,3.822339942764042764e+00
-1.029588723618090507e+00,7.850778095548618385e-01,-5.005025125628140614e+00,3.816411419685198148e+00
-1.023386381909547893e+00,7.837949309347795879e-01,-4.974874371859296929e+00,3.810175104563098714e+00
-1.017184040201005057e+00,7.824479228451266533e-01,-4.944723618090452355e+00,3.803627043984651568e+00
-1.010981698492462222e+00,7.810360293706137824e-01,-4.914572864321607781e+00,3.796763563302953060e+00
-1.004779356783919608e+00,7.795585512820072394e-01,-4.884422110552764096e+00,3.789581263432714842e+00
-9.985770150753768837e-01,7.780148453769152317e-01,-4.854271356783919522e+00,3.782077017645703254e+00
-9.923746733668341591e-01,7.764043238205726727e-01,-4.824120603015074948e+00,3.774247968366167605e+00
-9.861723316582915455e-01,7.747264534866263874e-01,-4.793969849246231263e+00,3.766091523966275112e+00
-9.799699899497487099e-01,7.729807552979206520e-01,-4.763819095477386689e+00,3.757605355561543181e+00
-9.737676482412060963e-01,7.711668035672822885e-01,-4.733668341708543004e+00,3.748787393806273460e+00
-9.675653065326633717e-01,7.692842253383066486e-01,-4.703517587939698430e+00,3.739635825688984117e+00
-9.613629648241207581e-01,7.673326997261415983e-01,-4.673366834170854744e+00,3.730149091327841226e+00
-9.551606231155779225e-01,7.653119572582740560e-01,-4.643216080402010171e+00,3.720325880766094606e+00
-9.489582814070351979e-01,7.632217792153150882e-01,-4.613065326633165597e+00,3.710165130767509201e+00
-9.427559396984925844e-01,7.610619969717847821e-01,-4.582914572864321912e+00,3.699666021611799138e+00
-9.365535979899497487e-01,7.588324913368977853e-01,-4.552763819095477338e+00,3.688827973890058232e+00
-9.303512562814070241e-01,7.565331918953487333e-01,-4.522613065326632764e+00,3.677650645300196253e+00
-9.241489145728644106e-01,7.541640763480970122e-01,-4.492462311557789079e+00,3.666133927442368101e+00
-9.179465728643215749e-01,7.517251698531530746e-01,-4.462311557788944505e+00,3.654277942614410968e+00
-9.117442311557789614e-01,7.492165443663630908e-01,-4.432160804020100819e+00,3.642083040607274835e+00
-9.055418894472362368e-01,7.466383179821940441e-01,-4.402010050251256246e+00,3.629549795500454756e+00
-8.993395477386936232e-01,7.439906542745197138e-01,-4.371859296482412560e+00,3.616679002457426684e+00
-8.931372060301507876e-01,7.412737616374053262e-01,-4.341708542713567986e+00,3.603471674521077084e+00
-8.869348643216080630e-01,7.384878926258929832e-01,-4.311557788944723413e+00,3.589929039409136990e+00
-8.807325226130654494e-01,7.356333432967882002e-01,-4.281407035175879727e+00,3.576052536309619612e+00
-8.745301809045226138e-01,7.327104525494428922e-01,-4.251256281407035154e+00,3.561843812676244170e+00
-8.683278391959798892e-01,7.297196014665424668e-01,-4.221105527638190580e+00,3.547304721023875285e+00
-8.621254974874372756e-01,7.266612126548909201e-01,-4.190954773869346894e+00,3.532437315723957028e+00
-8.559231557788944400e-01,7.235357495861954868e-01,-4.160804020100502321e+00,3.517243849799939870e+00
-8.497208140703518264e-01,7.203437159378526244e-01,-4.130653266331658635e+00,3.501726771722720954e+00
-8.435184723618091018e-01,7.170856549337327746e-01,-4.100502512562814061e+00,3.485888722206069268e+00
-8.373161306532664883e-01,7.137621486849661245e-01,-4.070351758793970376e+00,3.469732531002066356e+00
-8.311137889447236526e-01,7.103738175307272584e-01,-4.040201005025125802e+00,3.453261213696531939e+00
-8.249114472361809280e-01,7.069213193790216954e-01,-4.010050251256281229e+00,3.436477968504463298e+00
-8.187091055276382034e-01,7.034053490474700965e-01,-3.979899497487437099e+00,3.419386173065465773e+00
-8.125067638190954789e-01,6.998266376040936931e-01,-3.949748743718592969e+00,3.401989381239183263e+00
-8.063044221105527543e-01,6.961859517080999371e-01,-3.919597989949748840e+00,3.384291319900734063e+00
