# M4.19 vitiated-air nozzle v3 (Pt 1.139 MPa, Tt 1161 K, inlet pipe D1600) [euler] inviscid design wall (AxisMachCFDWall)
# R=2, L_U=6, L_c=9 (r_t units), M_d=4.19; r_t=0.205711 m
# throat x=0.000000 m r=0.205711 m; exit x=5.190955 m r=0.798461 m
# columns: x[mm] r[mm]  (axisymmetric wall contour, inlet pipe -> contraction -> throat -> MOC wall -> exit; throat at x=0)
-1337.1215 800.0101
-1333.5748 800.0101
-1330.0280 800.0101
-1326.4813 800.0101
-1322.9345 800.0101
-1319.3878 800.0101
-1315.8411 800.0101
-1312.2943 800.0101
-1308.7476 800.0101
-1305.2008 800.0101
-1301.6541 800.0101
-1298.1073 800.0101
-1294.5606 800.0101
-1291.0139 800.0101
-1287.4671 800.0101
-1283.9204 800.0101
-1280.3736 800.0101
-1276.8269 800.0101
-1273.2802 800.0101
-1269.7334 800.0101
-1266.1867 800.0101
-1262.6399 800.0101
-1259.0932 800.0101
-1255.5464 800.0101
-1251.9997 800.0101
-1248.4530 800.0101
-1244.9062 800.0101
-1241.3595 800.0101
-1237.8127 800.0101
-1234.2660 800.0101
-1228.0637 800.0096
-1221.8613 800.0060
-1215.6590 799.9963
-1209.4566 799.9777
-1203.2543 799.9472
-1197.0519 799.9022
-1190.8496 799.8399
-1184.6473 799.7577
-1178.4449 799.6531
-1172.2426 799.5236
-1166.0402 799.3668
-1159.8379 799.1804
-1153.6356 798.9623
-1147.4332 798.7101
-1141.2309 798.4219
-1135.0285 798.0955
-1128.8262 797.7290
-1122.6238 797.3206
-1116.4215 796.8684
-1110.2192 796.3706
-1104.0168 795.8257
-1097.8145 795.2318
-1091.6121 794.5876
-1085.4098 793.8915
-1079.2075 793.1421
-1073.0051 792.3380
-1066.8028 791.4780
-1060.6004 790.5608
-1054.3981 789.5852
-1048.1957 788.5501
-1041.9934 787.4545
-1035.7911 786.2974
-1029.5887 785.0778
-1023.3864 783.7949
-1017.1840 782.4479
-1010.9817 781.0360
-1004.7794 779.5586
-998.5770 778.0148
-992.3747 776.4043
-986.1723 774.7265
-979.9700 772.9808
-973.7676 771.1668
-967.5653 769.2842
-961.3630 767.3327
-955.1606 765.3120
-948.9583 763.2218
-942.7559 761.0620
-936.5536 758.8325
-930.3513 756.5332
-924.1489 754.1641
-917.9466 751.7252
-911.7442 749.2165
-905.5419 746.6383
-899.3395 743.9907
-893.1372 741.2738
-886.9349 738.4879
-880.7325 735.6333
-874.5302 732.7105
-868.3278 729.7196
-862.1255 726.6612
-855.9232 723.5357
-849.7208 720.3437
-843.5185 717.0857
-837.3161 713.7621
-831.1138 710.3738
-824.9114 706.9213
-818.7091 703.4053
-812.5068 699.8266
-806.3044 696.1860
-800.1021 692.4841
-793.8997 688.7219
-787.6974 684.9002
-781.4951 681.0200
-775.2927 677.0821
-769.0904 673.0876
-762.8880 669.0374
-756.6857 664.9326
-750.4833 660.7742
-744.2810 656.5633
-738.0787 652.3010
-731.8763 647.9885
-725.6740 643.6269
-719.4716 639.2174
-713.2693 634.7613
-707.0670 630.2598
-700.8646 625.7141
-694.6623 621.1256
-688.4599 616.4956
-682.2576 611.8254
-676.0552 607.1164
-669.8529 602.3699
-663.6506 597.5874
-657.4482 592.7703
-651.2459 587.9200
-645.0435 583.0380
-638.8412 578.1258
-632.6389 573.1849
-626.4365 568.2167
-620.2342 563.2228
-614.0318 558.2048
-607.8295 553.1642
-601.6271 548.1026
-595.4248 543.0215
-589.2225 537.9226
-583.0201 532.8075
-576.8178 527.6777
-570.6154 522.5350
-564.4131 517.3809
-558.2108 512.2171
-552.0084 507.0453
-545.8061 501.8671
-539.6037 496.6843
-533.4014 491.4984
-527.1990 486.3112
-520.9967 481.1244
-514.7944 475.9396
-508.5920 470.7586
-502.3897 465.5830
-496.1873 460.4146
-489.9850 455.2551
-483.7827 450.1062
-477.5803 444.9695
-471.3780 439.8469
-465.1756 434.7400
-458.9733 429.6505
-452.7709 424.5802
-446.5686 419.5306
-440.3663 414.5036
-434.1639 409.5008
-427.9616 404.5240
-421.7592 399.5747
-415.5569 394.6547
-409.3546 389.7657
-403.1522 384.9093
-396.9499 380.0872
-390.7475 375.3010
-384.5452 370.5524
-378.3428 365.8430
-372.1405 361.1744
-365.9382 356.5482
-359.7358 351.9660
-353.5335 347.4295
-347.3311 342.9402
-341.1288 338.4995
-334.9265 334.1092
-328.7241 329.7707
-322.5218 325.4855
-316.3194 321.2551
-310.1171 317.0810
-303.9147 312.9646
-297.7124 308.9075
-291.5101 304.9110
-285.3077 300.9765
-279.1054 297.1054
-272.9030 293.2990
-266.7007 289.5588
-260.4984 285.8860
-254.2960 282.2819
-248.0937 278.7478
-241.8913 275.2849
-235.6890 271.8945
-229.4866 268.5777
-223.2843 265.3357
-217.0820 262.1697
-210.8796 259.0808
-204.6773 256.0701
-198.4749 253.1385
-192.2726 250.2872
-186.0703 247.5171
-179.8679 244.8293
-173.6656 242.2246
-167.4632 239.7039
-161.2609 237.2681
-155.0585 234.9181
-148.8562 232.6546
-142.6539 230.4785
-136.4515 228.3903
-130.2492 226.3909
-124.0468 224.4810
-117.8445 222.6610
-111.6422 220.9316
-105.4398 219.2934
-99.2375 217.7468
-93.0351 216.2923
-86.8328 214.9303
-80.6304 213.6612
-74.4281 212.4854
-68.2258 211.4031
-62.0234 210.4146
-55.8211 209.5201
-49.6187 208.7197
-43.4164 208.0137
-37.2141 207.4020
-31.0117 206.8846
-24.8094 206.4616
-18.6070 206.1329
-12.4047 205.8984
-6.2023 205.7578
0.0000 205.7110
6.4968 205.7785
12.9936 205.9379
19.4904 206.1975
25.9873 206.5519
32.4841 207.0042
38.9809 207.5563
45.4777 208.2084
51.9745 208.9628
58.4713 209.8228
64.9682 210.7908
71.4650 211.8701
77.9618 213.0630
84.4586 214.3727
90.9554 215.8021
97.4522 217.3501
103.9490 219.0138
110.4459 220.7863
116.9427 222.6558
123.4395 224.6104
129.9363 226.6379
136.4331 228.7276
142.9299 230.8709
149.4267 233.0592
155.9236 235.2863
162.4204 237.5470
168.9172 239.8367
175.4140 242.1514
181.9108 244.4878
188.4076 246.8430
194.9045 249.2144
